folio_hash,estatus_pago,mes_ingreso_factura,tipo_suministro,region,tipo_dispositivo,coordinacion_administrativa,estado,municipio,fecha_instalacion,dias_pagar_junio,dias_pendientes,monto_reactivacion_mes_pausa,dias_mes,precio_unitario,precio_por_dia,dias_facturar,reactivacion_marzo,reactivacion_abril,reactivacion_mayo,reactivacion_junio,renta_junio_total,iva_16,total
F-0C8B02B1EB,AUTORIZADO,FEB-MAY_23,FASE INICIAL,1,Computadora de Escritorio Estandar,FEMDH,CIUDAD DE MEXICO,CUAUHTEMOC,24/04/2023,,,,30,$607.34,$20.24,30,$-,$-,$-,$-,$607.34,$97.17,$704.51
F-6ECAEFC2C3,DEVOLUCION (FRACCION DE SALIDA),FEB-MAY_23,FASE INICIAL,1,Computadora de Escritorio Estandar,FEMDH,CIUDAD DE MEXICO,CUAUHTEMOC,27/03/2023,,,,30,$607.34,$20.24,17,$-,$-,$-,$-,$344.16,$55.07,$399.22
F-9906FAE1FF,AUTORIZADO,FEB-MAY_23,FASE INICIAL,1,Computadora de Escritorio Estandar,SA_TLAX,TLAXCALA,TLAXCALA,17/05/2023,,,,30,$607.34,$20.24,30,$-,$-,$-,$-,$607.34,$97.17,$704.51
F-F28EB3A768,AUTORIZADO,FEB-MAY_23,FASE INICIAL,1,Computadora de Escritorio Estandar,FEMDH,CIUDAD DE MEXICO,CUAUHTEMOC,24/04/2023,,,,30,$607.34,$20.24,30,$-,$-,$-,$-,$607.34,$97.17,$704.51
F-6A48A6D6BE,DEVOLUCION (FRACCION DE SALIDA),FEB-MAY_23,FASE INICIAL,1,Computadora de Escritorio Estandar,DGSI,CIUDAD DE MEXICO,MIGUEL HIDALGO,31/03/2023,,,,30,$607.34,$20.24,30,$-,$-,$-,$-,$607.34,$97.17,$704.51
F-F4070412C8,PAUSADO (JUNIO 2026),SEP_COMP_24,BAJO DEMANDA,1,Teclado y raton inalambricos,CA_FEMDH,CIUDAD DE MEXICO,MIGUEL HIDALGO,13/03/2024,16,14,,30,$29.68,$0.99,16,$-,$-,$-,$-,$15.83,$2.53,$18.36
F-007971F1DD,AUTORIZADO,MARZO_25,,1,Computadora Portatil Estandar,INACIPE,CIUDAD DE MEXICO,TLALPAN,12/03/2025,,,,30,$664.99,$22.17,30,$-,$-,$-,$-,$664.99,$106.40,$771.39
F-F01FCB95C3,AUTORIZADO,JULIO_25,BAJO DEMANDA,1,Computadora Portatil Estandar,SA_PUE,PUEBLA,PUEBLA,11/06/2025,,,,30,$664.99,$22.17,30,$-,$-,$-,$-,$664.99,$106.40,$771.39
F-8B7B5453B9,AUTORIZADO,SEP_COMP_24,BAJO DEMANDA,2,Teclado y raton inalambricos,SA_MICH,MICHOACAN,APATZINGAN,13/05/2024,,,,30,$29.68,$0.99,30,$-,$-,$-,$-,$29.68,$4.75,$34.43
F-8DD77BB95C,DEVOLUCION (FRACCION DE SALIDA),FEB-MAY_23,FASE INICIAL,1,Computadora Portatil Estandar,FEMDH,CIUDAD DE MEXICO,CUAUHTEMOC,31/03/2023,,,,30,$664.99,$22.17,4,$-,$-,$-,$-,$88.67,$14.19,$102.85
F-B2395CC663,PAUSADO (JUNIO 2026),SEP_COMP_24,BAJO DEMANDA,2,Teclado y raton inalambricos,SA_TAB,TABASCO,CARDENAS,04/12/2023,19,11,,30,$29.68,$0.99,19,$-,$-,$-,$-,$18.80,$3.01,$21.80
F-8B56319073,AUTORIZADO,SEP_COMP_24,BAJO DEMANDA,1,Computadora Portatil Estandar,DGRHO,CIUDAD DE MEXICO,CUAUHTEMOC,08/01/2024,,,,30,$664.99,$22.17,30,$-,$-,$-,$-,$664.99,$106.40,$771.39
F-184F9A3628,AUTORIZADO,FEB-MAY_23,FASE INICIAL,1,Computadora de Escritorio Estandar,FEMCC,CIUDAD DE MEXICO,CUAUHTEMOC,31/03/2023,,,,30,$607.34,$20.24,30,$-,$-,$-,$-,$607.34,$97.17,$704.51
F-7AB5CC496C,AUTORIZADO,OCT_24,,1,Computadora de Escritorio Estandar,FEMDO,CIUDAD DE MEXICO,CUAUHTEMOC,14/12/2023,,,,30,$607.34,$20.24,30,$-,$-,$-,$-,$607.34,$97.17,$704.51
